Most Common Surnames,,,,,,,
,,,,,,,
"Surnames occurring most often in Scotland's registers of Births, Marriages and Deaths",,,,,,,
,,,,,,,
Counting only:,,,,,,,
(a)  the surname of the CHILD for births,,,,,,,
"(b)  the surnames of BOTH PARTIES (e.g. both BRIDE and GROOM) for marriages, and ",,,,,,,
(c)  the surname of the DECEASED for deaths.,,,,,,,
,,,,,,,
"Note: the surnames from these registers may not be representative of the surnames of the population of Scotland as a whole, as ",,,,,,,
(a) they include the surnames of non-residents who were born / married / died here; ,,,,,,,
(b) they exclude the surnames of residents who were born / married / died elsewhere; and ,,,,,,,
"(c) some age-groups have very low birth, marriage and death rates; others account for most births, marriages and deaths. ",,,,,,,
,,,,,,,
Registration Year = 2019,,,,,,,
,,,,,,,
Position,Surname,Number,,,,,
442=,SKINNER,62,,,,,
449=,DEWAR,61,,,,,
449=,GOODWIN,61,,,,,
449=,GOURLAY,61,,,,,
449=,MCCARTHY,61,,,,,
449=,MCCARTNEY,61,,,,,
449=,MCKEOWN,61,,,,,
449=,NEILSON,61,,,,,
456=,ATKINSON,60,,,,,
456=,DICKIE,60,,,,,
456=,KYLE,60,,,,,
456=,MEIKLE,60,,,,,
456=,RODGERS,60,,,,,
461=,BUTLER,59,,,,,
461=,DIXON,59,,,,,
461=,DOW,59,,,,,
461=,DRYSDALE,59,,,,,
461=,FOWLER,59,,,,,
461=,GILLAN,59,,,,,
461=,KIRKWOOD,59,,,,,
461=,LUMSDEN,59,,,,,
461=,SLATER,59,,,,,
470=,CHISHOLM,58,,,,,
470=,CONNELL,58,,,,,
470=,JARDINE,58,,,,,
470=,MEECHAN,58,,,,,
470=,ROY,58,,,,,
470=,SAUNDERS,58,,,,,
470=,STEVENS,58,,,,,
477=,ANDREW,57,,,,,
477=,DUTHIE,57,,,,,
477=,GLEN,57,,,,,
477=,JEFFREY,57,,,,,
477=,LAIDLAW,57,,,,,
477=,MAGUIRE,57,,,,,
477=,MALONE,57,,,,,
477=,MARR,57,,,,,
477=,MCDERMOTT,57,,,,,
477=,MCKECHNIE,57,,,,,
487=,BAILEY,56,,,,,
487=,BARRIE,56,,,,,
487=,LYON,56,,,,,
487=,MCADAM,56,,,,,
487=,MCKINLAY,56,,,,,
487=,RAFFERTY,56,,,,,
493=,BOWMAN,55,,,,,
493=,FARQUHAR,55,,,,,
493=,FYFE,55,,,,,
493=,GORMAN,55,,,,,
493=,GRIFFIN,55,,,,,
493=,JORDAN,55,,,,,
493=,MCGINLEY,55,,,,,
493=,MCGRATH,55,,,,,
493=,OGILVIE,55,,,,,
493=,WEBB,55,,,,,
503=,DAY,54,,,,,
503=,HOPE,54,,,,,
503=,HUNT,54,,,,,
503=,LOCKHART,54,,,,,
503=,MACKINTOSH,54,,,,,
503=,MCCALL,54,,,,,
503=,MCFADYEN,54,,,,,
503=,PRATT,54,,,,,
503=,WAUGH,54,,,,,
512=,ANGUS,53,,,,,
512=,CAIRNEY,53,,,,,
512=,CARRUTHERS,53,,,,,
512=,CROSS,53,,,,,
512=,DODDS,53,,,,,
512=,HOLLAND,53,,,,,
512=,MATTHEWS,53,,,,,
512=,MCLAUGHLAN,53,,,,,
512=,SMALL,53,,,,,
512=,THOM,53,,,,,
522=,BORTHWICK,52,,,,,
522=,CONWAY,52,,,,,
522=,CUMMINGS,52,,,,,
522=,DALY,52,,,,,
522=,MOHAMMED,52,,,,,
522=,STARK,52,,,,,
528=,BARKER,51,,,,,
528=,DAVIE,51,,,,,
528=,DEANS,51,,,,,
528=,GRIFFITHS,51,,,,,
528=,HORNE,51,,,,,
528=,MCKEE,51,,,,,
528=,RIDDELL,51,,,,,
535=,CUTHBERT,50,,,,,
535=,EWING,50,,,,,
535=,HAYES,50,,,,,
535=,INGRAM,50,,,,,
535=,RICHARDS,50,,,,,
535=,TIERNEY,50,,,,,
541=,AGNEW,49,,,,,
541=,BARRON,49,,,,,
541=,COULL,49,,,,,
541=,FAIRLEY,49,,,,,
541=,IRELAND,49,,,,,
541=,KEITH,49,,,,,
541=,KEMP,49,,,,,
541=,MCDADE,49,,,,,
541=,MCGUINNESS,49,,,,,
541=,MCLAUCHLAN,49,,,,,
541=,NEWLANDS,49,,,,,
541=,ROGERS,49,,,,,
541=,SOMERVILLE,49,,,,,
541=,TEMPLETON,49,,,,,
555=,BOWIE,48,,,,,
555=,COLEMAN,48,,,,,
555=,CORBETT,48,,,,,
555=,ELLIOT,48,,,,,
555=,GOLDIE,48,,,,,
555=,HERON,48,,,,,
555=,MACDOUGALL,48,,,,,
555=,MCFADDEN,48,,,,,
555=,MCNAUGHTON,48,,,,,
555=,MELDRUM,48,,,,,
555=,RICE,48,,,,,
555=,SPEIRS,48,,,,,
567=,BARBOUR,47,,,,,
567=,BLYTH,47,,,,,
567=,COLQUHOUN,47,,,,,
567=,MCGOVERN,47,,,,,
567=,MCNAB,47,,,,,
567=,MCVEY,47,,,,,
567=,NAPIER,47,,,,,
567=,OWENS,47,,,,,
567=,PATRICK,47,,,,,
567=,RAMAGE,47,,,,,
567=,WHITELAW,47,,,,,
578=,AHMAD,46,,,,,
578=,HARKINS,46,,,,,
578=,HODGE,46,,,,,
578=,LEES,46,,,,,
578=,MCGUIGAN,46,,,,,
578=,MCQUADE,46,,,,,
578=,NEILL,46,,,,,
578=,NOLAN,46,,,,,
578=,O'HARE,46,,,,,
578=,POTTER,46,,,,,
578=,SANDERSON,46,,,,,
578=,SEMPLE,46,,,,,
578=,STEVEN,46,,,,,
578=,SUMMERS,46,,,,,
592=,ARNOTT,45,,,,,
592=,COCKBURN,45,,,,,
592=,FOTHERINGHAM,45,,,,,
592=,FRENCH,45,,,,,
592=,GILBERT,45,,,,,
592=,IQBAL,45,,,,,
592=,MCHUGH,45,,,,,
592=,MCLENNAN,45,,,,,
592=,MUIRHEAD,45,,,,,
592=,O'HARA,45,,,,,
592=,RICHMOND,45,,,,,
592=,WALTON,45,,,,,
604=,BURTON,44,,,,,
604=,DEMPSTER,44,,,,,
604=,HARLEY,44,,,,,
604=,KIRKPATRICK,44,,,,,
604=,MACINTYRE,44,,,,,
604=,MCINALLY,44,,,,,
610=,BISSET,43,,,,,
610=,BROOKS,43,,,,,
610=,CARLIN,43,,,,,
610=,CORMACK,43,,,,,
610=,CRICHTON,43,,,,,
610=,DOUGAN,43,,,,,
610=,MCKIE,43,,,,,
610=,MCMASTER,43,,,,,
610=,MCNULTY,43,,,,,
610=,OWEN,43,,,,,
610=,PRINGLE,43,,,,,
610=,SHAND,43,,,,,
610=,WELLS,43,,,,,
623=,AUSTIN,42,,,,,
