Id,Name,Type,Rate,Total,Order
584,Sean,M,1120,1973627,236
585,Khalil,M,1118,1974745,161
586,Lucille,F,1118,1975863,319
587,Hendrix,M,1117,1976980,588
588,Derek,M,1108,1978088,615
589,Cristian,M,1105,1979193,691
590,Amiyah,F,1104,1980297,220
591,Cruz,M,1104,1981401,594
592,Kairo,M,1104,1982505,166
593,Annie,F,1098,1983603,620
594,Alexandria,F,1096,1984699,82
595,Dante,M,1091,1985790,179
596,Myla,F,1089,1986879,569
597,Vivienne,F,1087,1987966,684
598,Atticus,M,1086,1989052,127
599,Killian,M,1086,1990138,137
600,Stephen,M,1084,1991222,608
601,Kiara,F,1083,1992305,685
602,Orion,M,1072,1993377,547
603,Alani,F,1069,1994446,965
604,Malakai,M,1068,1995514,42
605,Ali,M,1065,1996579,203
606,Margot,F,1061,1997640,875
607,Eduardo,M,1060,1998700,78
608,Fernando,M,1060,1999760,530
609,Adelaide,F,1057,2000817,477
610,Briella,F,1054,2001871,985
611,Brynn,F,1054,2002925,48
612,Anderson,M,1052,2003977,941
613,Angelo,M,1048,2005025,696
614,Saylor,F,1048,2006073,679
615,Destiny,F,1037,2007110,291
616,Spencer,M,1031,2008141,479
617,Gideon,M,1027,2009168,418
618,Mario,M,1024,2010192,835
619,Titus,M,1024,2011216,197
620,Travis,M,1024,2012240,844
621,Evelynn,F,1023,2013263,767
622,Haven,F,1017,2014280,361
623,Rylan,M,1017,2015297,80
624,Kayson,M,1015,2016312,327
625,Izabella,F,1014,2017326,157
626,Ricardo,M,1014,2018340,967
627,Tanner,M,1013,2019353,901
628,Malcolm,M,1011,2020364,749
629,Raymond,M,1011,2021375,400
630,Kaia,F,1007,2022382,353
631,Odin,M,1007,2023389,123
632,Lilliana,F,1004,2024393,94
633,Cesar,M,1003,2025396,229
634,Lennox,M,1002,2026398,209
635,Harlow,F,1001,2027399,213
636,Alessandra,F,1000,2028399,577
637,Joaquin,M,999,2029398,260
638,Kane,M,997,2030395,895
639,Madilyn,F,997,2031392,234
640,Nina,F,995,2032387,700
641,Wade,M,993,2033380,850
642,Muhammad,M,992,2034372,208
643,Iker,M,991,2035363,992
644,Jaylen,M,991,2036354,441
645,Adelynn,F,989,2037343,165
646,Crew,M,988,2038331,2
647,Zayn,M,985,2039316,155
648,Amina,F,984,2040300,482
649,Hector,M,982,2041282,162
650,Kate,F,982,2042264,566
651,Fatima,F,979,2043243,215
652,Samara,F,978,2044221,661
653,Winter,F,977,2045198,698
654,Giselle,F,975,2046173,952
655,Ellis,M,970,2047143,702
656,Leonel,M,970,2048113,270
657,Cairo,M,969,2049082,752
658,Evie,F,968,2050050,601
659,Garrett,M,966,2051016,598
660,Arielle,F,964,2051980,294
661,Romeo,M,963,2052943,11
662,Jessica,F,962,2053905,409
663,Talia,F,962,2054867,269
664,Edwin,M,955,2055822,150
665,Leia,F,953,2056775,100
666,Gabriela,F,952,2057727,345
667,Warren,M,951,2058678,639
668,Gracelyn,F,949,2059627,439
669,Lexi,F,949,2060576,305
670,Laura,F,944,2061520,893
671,Julius,M,942,2062462,263
672,Major,M,942,2063404,873
673,Donovan,M,941,2064345,673
674,Makenzie,F,941,2065286,195
675,Melissa,F,930,2066216,640
676,Caiden,M,928,2067144,966
677,Royalty,F,926,2068070,99
678,Tyson,M,926,2068996,18
679,Nico,M,922,2069918,44
680,Sergio,M,922,2070840,604
681,Nasir,M,921,2071761,557
682,Rory,M,921,2072682,653
683,Rylie,F,921,2073603,301
684,Raelyn,F,914,2074517,399
685,Gabrielle,F,911,2075428,956
686,Devin,M,910,2076338,6
687,Paris,F,909,2077247,431
688,Jaiden,M,908,2078155,699
689,Jared,M,908,2079063,278
690,Daleyza,F,906,2079969,32
691,Joy,F,906,2080875,27
692,Maisie,F,902,2081777,417
693,Oakley,F,902,2082679,341
694,Ariyah,F,901,2083580,254
695,Kailani,F,898,2084478,984
696,Alayah,F,892,2085370,416
697,Stephanie,F,891,2086261,486
698,Kason,M,890,2087151,726
699,Amora,F,887,2088038,506
700,Willa,F,885,2088923,493
701,Gracelynn,F,884,2089807,402
702,Elle,F,883,2090690,988
703,Keira,F,882,2091572,450
704,Tatum,F,880,2092452,747
705,Malik,M,879,2093331,549
706,Jeffrey,M,876,2094207,586
707,Veronica,F,875,2095082,536
708,Milani,F,872,2095954,977
709,Ismael,M,871,2096825,207
710,Elian,M,869,2097694,982
711,Marshall,M,866,2098560,570
712,Felicity,F,865,2099425,904
713,Lawson,M,865,2100290,636
714,Paislee,F,864,2101154,582
715,Allie,F,860,2102014,313
716,Nylah,F,858,2102872,227
717,Ariah,F,857,2103729,124
718,Cassidy,F,857,2104586,962
719,Lyric,F,857,2105443,947
720,Desmond,M,856,2106299,253
721,Madeleine,F,856,2107155,920
722,Winston,M,856,2108011,769
723,Miracle,F,854,2108865,989
724,Nehemiah,M,852,2109717,303
725,Ari,M,851,2110568,352
726,Gwendolyn,F,845,2111413,292
727,Octavia,F,844,2112257,430
728,Conner,M,843,2113100,581
729,Dahlia,F,843,2113943,68
730,Heidi,F,839,2114782,296
731,Jay,M,837,2115619,60
732,Celeste,F,835,2116454,663
733,Kade,M,835,2117289,980
734,Andy,M,831,2118120,174
735,Johnny,M,831,2118951,489
736,Makenna,F,828,2119779,664
737,Jayceon,M,827,2120606,909
738,Marco,M,827,2121433,714
739,Everlee,F,826,2122259,65
740,Scarlet,F,825,2123084,866
741,Seth,M,824,2123908,333
742,Esmeralda,F,820,2124728,448
743,Maci,F,820,2125548,125
744,Ibrahim,M,819,2126367,592
745,Raiden,M,818,2127185,568
746,Collin,M,816,2128001,551
747,Lainey,F,816,2128817,188
748,Jacqueline,F,815,2129632,799
749,Kira,F,812,2130444,733
750,Lana,F,811,2131255,597
751,Edgar,M,810,2132065,180
752,Erik,M,810,2132875,442
753,Brinley,F,806,2133681,979
754,Demi,F,806,2134487,861
755,Ophelia,F,804,2135291,293
756,Troy,M,804,2136095,949
757,Clark,M,801,2136896,401
758,Jaxton,M,800,2137696,818
759,Johnathan,M,800,2138496,79
760,Gregory,M,798,2139294,340
761,Russell,M,797,2140091,456
762,Royce,M,795,2140886,83
763,Fabian,M,793,2141679,86
764,Lennon,F,793,2142472,565
765,Ezequiel,M,792,2143264,827
766,Noel,M,790,2144054,656
767,Pablo,M,787,2144841,46
768,Reign,F,787,2145628,729
769,Bristol,F,786,2146414,31
770,Cade,M,784,2147198,600
771,Sabrina,F,782,2147980,329
772,Pedro,M,781,2148761,877
773,Alaya,F,780,2149541,744
774,Jennifer,F,780,2150321,859
775,Kenzie,F,779,2151100,297
776,Luciana,F,777,2151877,432
777,Sullivan,M,776,2152653,102
778,Anaya,F,775,2153428,414
779,Trevor,M,775,2154203,930
780,Hallie,F,774,2154977,89
781,Reed,M,774,2155751,481
782,Camryn,F,771,2156522,874
783,Frank,M,768,2157290,573
784,Kinley,F,767,2158057,22
785,Daniella,F,766,2158823,589
786,Lilith,F,766,2159589,527
787,Blair,F,765,2160354,43
788,Amanda,F,763,2161117,991
789,Collins,F,763,2161880,563
790,Harvey,M,762,2162642,238
791,Maliyah,F,762,2163404,939
792,Rosemary,F,760,2164164,902
793,Cataleya,F,758,2164922,412
794,Kaylani,F,758,2165680,938
795,Princeton,M,758,2166438,265
796,Zayne,M,756,2167194,271
797,Gia,F,755,2167949,53
798,Alison,F,753,2168702,591
799,Leighton,F,752,2169454,464
